Text-values,Numerical-values
21.07.2020 11:42:24  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 205  35   7   6   1  40   3   9   1  41]]
Notification 000220411021 is not locked,[[  11 1200    2    4   10]]
Notification 000210294944 is not locked,[[  11 1201    2    4   10]]
21.07.2020 11:14:09  - Invalid User status E0008 for mobile status CLSD,[[34  8  5 73 79 25  7  6  1 40  3  9  1 41]]
21.07.2020 11:14:30  - Invalid User status E0008 for mobile status CLSD,[[34  8  5 73 79 16  7  6  1 40  3  9  1 41]]
21.07.2020 11:14:46  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73  79 218   7   6   1  40   3   9   1  41]]
21.07.2020 11:18:17  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 114 106   7   6   1  40   3   9   1  41]]
21.07.2020 11:18:57  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 114 221   7   6   1  40   3   9   1  41]]
21.07.2020 11:20:50  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73  69 196   7   6   1  40   3   9   1  41]]
21.07.2020 19:48:36  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 219 200   7   6   1  40   3   9   1  41]]
21.07.2020 19:48:58  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 219 213   7   6   1  40   3   9   1  41]]
21.07.2020 19:49:41  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 206 189   7   6   1  40   3   9   1  41]]
21.07.2020 19:50:18  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 196 114   7   6   1  40   3   9   1  41]]
21.07.2020 19:50:33  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 196 217   7   6   1  40   3   9   1  41]]
21.07.2020 19:50:47  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 196 211   7   6   1  40   3   9   1  41]]
21.07.2020 19:51:02  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 193  96   7   6   1  40   3   9   1  41]]
21.07.2020 19:51:17  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 193 106   7   6   1  40   3   9   1  41]]
21.07.2020 19:51:31  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 193 164   7   6   1  40   3   9   1  41]]
21.07.2020 19:51:44  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 193 215   7   6   1  40   3   9   1  41]]
21.07.2020 19:51:58  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 193 213   7   6   1  40   3   9   1  41]]
21.07.2020 19:52:12  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 208 120   7   6   1  40   3   9   1  41]]
21.07.2020 19:52:28  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 208 158   7   6   1  40   3   9   1  41]]
21.07.2020 19:52:51  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 208 193   7   6   1  40   3   9   1  41]]
21.07.2020 19:53:06  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 192 115   7   6   1  40   3   9   1  41]]
21.07.2020 19:53:22  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 192  68   7   6   1  40   3   9   1  41]]
21.07.2020 19:53:38  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 192 203   7   6   1  40   3   9   1  41]]
21.07.2020 19:53:54  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 192 162   7   6   1  40   3   9   1  41]]
21.07.2020 19:54:15  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 162  18   7   6   1  40   3   9   1  41]]
21.07.2020 19:54:30  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 162  16   7   6   1  40   3   9   1  41]]
21.07.2020 19:54:44  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 162 215   7   6   1  40   3   9   1  41]]
21.07.2020 19:54:58  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 162 213   7   6   1  40   3   9   1  41]]
21.07.2020 19:55:12  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 207 120   7   6   1  40   3   9   1  41]]
21.07.2020 19:55:26  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 207  87   7   6   1  40   3   9   1  41]]
21.07.2020 19:55:41  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 207 189   7   6   1  40   3   9   1  41]]
21.07.2020 19:55:58  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 207 213   7   6   1  40   3   9   1  41]]
21.07.2020 19:56:13  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  61 423 156   7   6   1  40   3   9   1  41]]
21.07.2020 20:00:24  - Invalid User status E0008 for mobile status CLSD,[[34  8  5 69 43 35  7  6  1 40  3  9  1 41]]
21.07.2020 20:00:43  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  69  43 210   7   6   1  40   3   9   1  41]]
Notification 000220411741 is not locked,[[  11 1202    2    4   10]]
Notification 002000695853 is not locked,[[  11 1203    2    4   10]]
08.09.2020 16:42:38  - Invalid User status E0008 for mobile status CLSD,[[ 15  25   5 102 205 203   7   6   1  40   3   9   1  41]]
Notification 000220410109 is not locked,[[  11 1204    2    4   10]]
Notification 000220413426 is not locked,[[  11 1205    2    4   10]]
Notification 000220414781 is not locked,[[  11 1206    2    4   10]]
23.07.2020 07:22:45  - Invalid User status E0008 for mobile status CLSD,[[ 19   8   5   8  68 143   7   6   1  40   3   9   1  41]]
Notification 000210301732 is not locked,[[  11 1207    2    4   10]]
22.07.2020 05:53:01  - Invalid User status E0008 for mobile status CLSD,[[ 68   8   5 107 192 209   7   6   1  40   3   9   1  41]]
23.07.2020 07:21:46  - Invalid User status E0008 for mobile status CLSD,[[ 19   8   5   8  34 218   7   6   1  40   3   9   1  41]]
Notification 002000699471 is not locked,[[  11 1208    2    4   10]]
Notification 000210296879 is not locked,[[  11 1209    2    4   10]]
Notification 000210299081 is not locked,[[  11 1210    2    4   10]]
Notification 002000686823 is not locked,[[  11 1211    2    4   10]]
Notification 000220412146 is not locked,[[  11 1212    2    4   10]]
Notification 000210293727 is not locked,[[  11 1213    2    4   10]]
Notification 000220415391 is not locked,[[  11 1214    2    4   10]]
Notification 000220409948 is not locked,[[  11 1215    2    4   10]]
Notification 000220409950 is not locked,[[  11 1216    2    4   10]]
Notification 000220410415 is not locked,[[  11 1217    2    4   10]]
24.08.2020 16:17:12  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 106 120   7   6   1  40   3   9   1  41]]
24.08.2020 16:17:35  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 106 159   7   6   1  40   3   9   1  41]]
24.08.2020 16:18:09  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 114  25   7   6   1  40   3   9   1  41]]
24.08.2020 16:18:35  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 114 159   7   6   1  40   3   9   1  41]]
24.08.2020 16:18:57  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 114 221   7   6   1  40   3   9   1  41]]
24.08.2020 16:19:15  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  61  18   7   6   1  40   3   9   1  41]]
24.08.2020 16:19:36  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  61 200   7   6   1  40   3   9   1  41]]
24.08.2020 16:19:59  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  61 195   7   6   1  40   3   9   1  41]]
24.08.2020 16:20:16  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  69 102   7   6   1  40   3   9   1  41]]
24.08.2020 16:20:34  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  69 212   7   6   1  40   3   9   1  41]]
24.08.2020 16:20:51  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  69 193   7   6   1  40   3   9   1  41]]
24.08.2020 16:21:19  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  34  61   7   6   1  40   3   9   1  41]]
24.08.2020 16:21:39  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  34 188   7   6   1  40   3   9   1  41]]
24.08.2020 16:21:54  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  34 162   7   6   1  40   3   9   1  41]]
24.08.2020 16:22:09  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  68  25   7   6   1  40   3   9   1  41]]
24.08.2020 16:22:26  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  68  87   7   6   1  40   3   9   1  41]]
21.07.2020 07:15:35  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5   8  18 159   7   6   1  40   3   9   1  41]]
21.07.2020 11:39:30  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 188  16   7   6   1  40   3   9   1  41]]
21.07.2020 11:40:15  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 163  18   7   6   1  40   3   9   1  41]]
21.07.2020 11:40:46  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 163 218   7   6   1  40   3   9   1  41]]
21.07.2020 11:41:13  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 189 156   7   6   1  40   3   9   1  41]]
21.07.2020 11:41:31  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 189 164   7   6   1  40   3   9   1  41]]
21.07.2020 11:42:33  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 205 217   7   6   1  40   3   9   1  41]]
Notification 000220410197 is not locked,[[  11 1218    2    4   10]]
Notification 000210296447 is not locked,[[  11 1219    2    4   10]]
21.07.2020 07:08:40  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5   8  15 163   7   6   1  40   3   9   1  41]]
21.07.2020 07:13:27  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5   8 156 157   7   6   1  40   3   9   1  41]]
21.07.2020 11:39:48  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 188 219   7   6   1  40   3   9   1  41]]
21.07.2020 11:39:53  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 188 192   7   6   1  40   3   9   1  41]]
21.07.2020 11:39:58  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 188 213   7   6   1  40   3   9   1  41]]
21.07.2020 11:40:26  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 163  87   7   6   1  40   3   9   1  41]]
21.07.2020 20:14:18  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  69  79 114   7   6   1  40   3   9   1  41]]
Notification 000220413379 is not locked,[[  11 1220    2    4   10]]
Notification 000220414915 is not locked,[[  11 1221    2    4   10]]
Notification 000210299889 is not locked,[[  11 1222    2    4   10]]
Notification 002000688408 is not locked,[[  11 1223    2    4   10]]
Notification 000210293257 is not locked,[[  11 1224    2    4   10]]
Notification 000210299543 is not locked,[[  11 1225    2    4   10]]
Notification 000210297571 is not locked,[[  11 1226    2    4   10]]
Notification 000210299315 is not locked,[[  11 1227    2    4   10]]
24.08.2020 16:17:05  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 106 107   7   6   1  40   3   9   1  41]]
24.08.2020 16:17:27  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 106 157   7   6   1  40   3   9   1  41]]
24.08.2020 16:17:46  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 106 218   7   6   1  40   3   9   1  41]]
24.08.2020 16:18:22  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 114  68   7   6   1  40   3   9   1  41]]
24.08.2020 16:18:45  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102 114 143   7   6   1  40   3   9   1  41]]
24.08.2020 16:19:05  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  61 107   7   6   1  40   3   9   1  41]]
24.08.2020 16:19:25  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  61 154   7   6   1  40   3   9   1  41]]
24.08.2020 16:19:51  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  61 193   7   6   1  40   3   9   1  41]]
24.08.2020 16:20:08  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  69  15   7   6   1  40   3   9   1  41]]
24.08.2020 16:20:23  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  69  19   7   6   1  40   3   9   1  41]]
24.08.2020 16:20:43  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  69 210   7   6   1  40   3   9   1  41]]
24.08.2020 16:21:08  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  34  15   7   6   1  40   3   9   1  41]]
24.08.2020 16:21:32  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  34 197   7   6   1  40   3   9   1  41]]
24.08.2020 16:21:47  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  34 211   7   6   1  40   3   9   1  41]]
24.08.2020 16:22:02  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  68  96   7   6   1  40   3   9   1  41]]
24.08.2020 16:22:18  - Invalid User status E0008 for mobile status CLSD,[[ 35  15   5 102  68 114   7   6   1  40   3   9   1  41]]
08.09.2020 16:42:16  - Invalid User status E0008 for mobile status CLSD,[[ 15  25   5 102 205 102   7   6   1  40   3   9   1  41]]
08.09.2020 16:42:24  - Invalid User status E0008 for mobile status CLSD,[[ 15  25   5 102 205  35   7   6   1  40   3   9   1  41]]
08.09.2020 18:45:14  - Invalid User status E0008 for mobile status CLSD,[[ 15  25   5 114 143  79   7   6   1  40   3   9   1  41]]
30.06.2020 13:11:37  - Invalid User status E0008 for mobile status CLSD,[[ 16 115   5 156  73 199   7   6   1  40   3   9   1  41]]
30.06.2020 13:12:18  - Invalid User status E0008 for mobile status CLSD,[[ 16 115   5 156 120 114   7   6   1  40   3   9   1  41]]
14.09.2020 11:15:54  - Invalid User status E0008 for mobile status CLSD,[[ 79  25   5  73  18 162   7   6   1  40   3   9   1  41]]
14.09.2020 11:16:14  - Invalid User status E0008 for mobile status CLSD,[[ 79  25   5  73 102  79   7   6   1  40   3   9   1  41]]
Notification 000210297333 is not locked,[[ 11 535   2   4  10]]
Notification 000210294184 is not locked,[[  11 1228    2    4   10]]
21.07.2020 07:13:59  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5   8 156 195   7   6   1  40   3   9   1  41]]
21.07.2020 07:14:25  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5   8  79 154   7   6   1  40   3   9   1  41]]
21.07.2020 11:39:41  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 188 189   7   6   1  40   3   9   1  41]]
21.07.2020 11:40:04  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 163 161   7   6   1  40   3   9   1  41]]
21.07.2020 11:40:31  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 163 164   7   6   1  40   3   9   1  41]]
21.07.2020 11:40:59  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 163 195   7   6   1  40   3   9   1  41]]
21.07.2020 11:41:18  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 189 114   7   6   1  40   3   9   1  41]]
21.07.2020 11:42:18  - Invalid User status E0008 for mobile status CLSD,[[ 34   8   5  73 205 114   7   6   1  40   3   9   1  41]]
22.07.2020 05:52:51  - Invalid User status E0008 for mobile status CLSD,[[ 68   8   5 107 208 193   7   6   1  40   3   9   1  41]]
Notification 000220410527 is not locked,[[  11 1229    2    4   10]]
Notification 000210293162 is not locked,[[  11 1230    2    4   10]]
"Date 01.01.0001 is invalid (check entry)),  |",[[ 90 209 209 226   2   7  77 227]]
"System status CNF 000800002966 0850 is active),  |",[[  45    1   84 1231 1232    2   75]]
"Time collision 08:00 - 09:00 with 08:00 - 09:00),  |",[[28 32 15 43 25 43 20 15 43 25 43]]
"Time collision 09:15 - 09:30 with 09:15 - 09:30),  |",[[28 32 25 18 25 16 20 25 18 25 16]]
"Time collision 10:15 - 10:45 with 10:15 - 10:45),  |",[[ 28  32  29  18  29 143  20  29  18  29 143]]
"Time collision 23:15 - 07:30 with 23:15 - 07:30), More than 24 hours entered for personnel number 99007036 on 10.08.2020 |",[[28 32 19 18  8 16 20 19 18  8 16 49 63 35 64 50  3 65 66 70 67 29 15  5]]
"Order 800005478 is already being processed by E0019099),  |",[[  13 1233    2   57   37   33   31  536]]
"Time collision 10:00 - 14:30 with 07:30 - 22:00),  |",[[28 32 29 43 79 16 20  8 16 68 43]]
"Actual date(s) is in the future (check parameters)),  |",[[111  90 112   2  17  21 113  77  91]]
"Order 800002811 is already being processed by E0026803),  |",[[ 13 537   2  57  37  33  31 443]]
"You have no authorization in plant 1200 for order type TP01),  |",[[103  46  24  47  17 108 121   3  13  60 144]]
"System status CNF 000800002324 0620 is active),  |",[[ 45   1  84 464 538   2  75]]
"System status CNF 000800000266 0620 is active),  |",[[  45    1   84 1234  538    2   75]]
"System status CNF 000800001845 0650 is active),  |",[[  45    1   84 1235  539    2   75]]
"Time collision 07:30 - 12:30 with 07:30 - 15:30),  |",[[ 28  32   8  16 120  16  20   8  16  18  16]]
"Time collision 09:00 - 09:45 with 09:00 - 09:30),  |",[[ 28  32  25  43  25 143  20  25  43  25  16]]
"Time collision 10:20 - 11:00 with 10:05 - 10:25),  |",[[ 28  32  29  69  73  43  20  29 107  29 154]]
"Time collision 09:00 - 10:00 with 09:00 - 09:45),  |",[[ 28  32  25  43  29  43  20  25  43  25 143]]
"Order 800000721 is already being processed by E0027477),  |",[[  13 1236    2   57   37   33   31  451]]
"Order 800002791 is already being processed by E0027477),  |",[[  13 1237    2   57   37   33   31  451]]
"Time collision 08:30 - 08:50 with 08:30 - 09:00),  |",[[ 28  32  15  16  15 196  20  15  16  25  43]]
"Order 800000266 is already being processed by E0028401),  |",[[  13 1238    2   57   37   33   31  440]]
"Time collision 09:30 - 10:00 with 09:30 - 10:00),  |",[[28 32 25 16 29 43 20 25 16 29 43]]
"Time collision 13:30 - 13:30 with 13:30 - 13:31),  |",[[ 28  32 156  16 156  16  20 156  16 156 164]]
"Time collision 07:30 - 15:30 with 07:30 - 15:30),  |",[[28 32  8 16 18 16 20  8 16 18 16]]
"Order 800002811 is already being processed by E0026991),  |",[[ 13 537   2  57  37  33  31 452]]
"System status CNF 000800001531 5940 is active),  |",[[  45    1   84  465 1239    2   75]]
"System status CNF 000800001531 5950 is active),  |",[[  45    1   84  465 1240    2   75]]
"System status CNF 000800001531 5970 is active),  |",[[  45    1   84  465 1241    2   75]]
"Order 800002765 is already being processed by E0028401),  |",[[ 13 540   2  57  37  33  31 440]]
"System status CNF 000800002811 3860 is active),  |",[[  45    1   84  453 1242    2   75]]
"Time collision 12:00 - 14:30 with 11:00 - 14:30),  |",[[ 28  32 120  43  79  16  20  73  43  79  16]]
"Time collision 12:15 - 01:15 with 12:00 - 12:20),  |",[[ 28  32 120  18 209  18  20 120  43 120  69]]
"System status CNF 000800003149 3020 is active),  |",[[  45    1   84  436 1243    2   75]]
"System status CNF 000800002811 3010 is active),  |",[[  45    1   84  453 1244    2   75]]
"Order 800003616 is already being processed by E0027855),  |",[[  13  541    2   57   37   33   31 1245]]
"Order 800003737 is already being processed by E0026991),  |",[[  13 1246    2   57   37   33   31  452]]
"System status CNF 000800005144 0970 is active),  |",[[  45    1   84 1247 1248    2   75]]
"You have no authorization in plant 1200 for order type TP07),  |",[[ 103   46   24   47   17  108  121    3   13   60 1249]]
"System status CNF 000800003149 2130 is active),  |",[[  45    1   84  436 1250    2   75]]
"System status CNF 000800002753 1100 is active),  |",[[ 45   1  84 542 543   2  75]]
"System status CNF 000800002222 0884 is active),  |",[[  45    1   84  544 1251    2   75]]
"System status CNF 000800003149 0730 is active),  |",[[  45    1   84  436 1252    2   75]]
"Time collision 11:00 - 11:30 with 11:00 - 11:30),  |",[[28 32 73 43 73 16 20 73 43 73 16]]
"Time collision 09:30 - 09:45 with 09:30 - 09:45),  |",[[ 28  32  25  16  25 143  20  25  16  25 143]]
"System status CNF 000800000299 0830 is active),  |",[[  45    1   84 1253 1254    2   75]]
"Order 800003301 is already being processed by E0018548),  |",[[  13 1255    2   57   37   33   31 1256]]
"System status CNF 000800004759 1850 is active),  |",[[  45    1   84 1257 1258    2   75]]
"Order 800001684 is already being processed by E0024883),  |",[[  13 1259    2   57   37   33   31  545]]
"Order 800002859 is already being processed by BATCH_IT_PS),  |",[[  13 1260    2   57   37   33   31  546  547  548]]
"System status CNF 000800003583 2100 is active),  |",[[  45    1   84 1261 1262    2   75]]
"Time collision 10:45 - 11:45 with 10:45 - 11:45),  |",[[ 28  32  29 143  73 143  20  29 143  73 143]]
"Time collision 08:30 - 09:00 with 08:30 - 09:00),  |",[[28 32 15 16 25 43 20 15 16 25 43]]
"No remaining duration/forecast finish possible for final confirmation),  |",[[ 24 145 146 204 147 124   3 148  53]]
"Time collision 20:00 - 07:30 with 20:00 - 07:30), More than 24 hours entered for personnel number 99007766 on 24.08.2020 |","[[  28   32   69   43    8   16   20   69   43    8   16   49   63   35
    64   50    3   65   66 1263   67   35   15    5]]"
"Time collision 10:30 - 12:00 with 10:30 - 12:00),  |",[[ 28  32  29  16 120  43  20  29  16 120  43]]
"More than 24 hours entered for personnel number 99007036 on 12.08.2020),  |",[[ 49  63  35  64  50   3  65  66  70  67 120  15   5]]
"System status CNF 000800002787 4170 is active),  |",[[  45    1   84  466 1264    2   75]]
"System status CNF 000800002561 4303 is active),  |",[[  45    1   84  444 1265    2   75]]
"System status CNF 000800002763 3680 is active),  |",[[  45    1   84  549 1266    2   75]]
"Time collision 19:30 - 07:30 with 19:30 - 07:30), More than 24 hours entered for personnel number 00017284 on 19.08.2020 |","[[  28   32   61   16    8   16   20   61   16    8   16   49   63   35
    64   50    3   65   66 1267   67   61   15    5]]"
"Time collision 08:00 - 08:01 with 08:00 - 08:01),  |",[[ 28  32  15  43  15 209  20  15  43  15 209]]
"System status CNF 000800003146 1760 is active),  |",[[  45    1   84  437 1268    2   75]]
"Time collision 08:00 - 08:12 with 08:00 - 08:12),  |",[[ 28  32  15  43  15 120  20  15  43  15 120]]
"Time collision 07:35 - 07:36 with 07:35 - 07:36),  |",[[ 28  32   8 159   8 200  20   8 159   8 200]]
"Time collision 07:30 - 07:31 with 07:30 - 07:31),  |",[[ 28  32   8  16   8 164  20   8  16   8 164]]
"Time collision 07:33 - 07:34 with 07:33 - 07:34),  |",[[ 28  32   8 217   8 212  20   8 217   8 212]]
"Time collision 07:37 - 15:30 with 07:30 - 13:00),  |",[[ 28  32   8 199  18  16  20   8  16 156  43]]
"System status CNF 000800003287 0175 is active),  |",[[  45    1   84 1269 1270    2   75]]
"Order 800005797 is already being processed by E0028401),  |",[[  13 1271    2   57   37   33   31  440]]
"System status CNF 000800003146 2150 is active),  |",[[ 45   1  84 437 550   2  75]]
"System status CNF 000800003146 2360 is active),  |",[[  45    1   84  437 1272    2   75]]
"Time collision 15:00 - 15:06 with 15:00 - 15:06),  |",[[ 28  32  18  43  18 115  20  18  43  18 115]]
"System status CNF 000800002561 1100 is active),  |",[[ 45   1  84 444 543   2  75]]
"System status CNF 000800001530 0430 is active),  |",[[ 45   1  84 454 467   2  75]]
"System status CNF 000800001530 0440 is active),  |",[[  45    1   84  454 1273    2   75]]
"System status CNF 000800002561 4262 is active),  |",[[  45    1   84  444 1274    2   75]]
"Time collision 08:21 - 08:29 with 08:21 - 08:29),  |",[[28 32 15 34 15 92 20 15 34 15 92]]
"System status CNF 000800003146 3200 is active),  |",[[ 45   1  84 437 551   2  75]]
"System status CNF 000800002561 3820 is active),  |",[[  45    1   84  444 1275    2   75]]
"Time collision 07:30 - 14:30 with 07:30 - 14:30),  |",[[28 32  8 16 79 16 20  8 16 79 16]]
"System status CNF 000800002811 3850 is active),  |",[[  45    1   84  453 1276    2   75]]
"System status CNF 000800002763 3200 is active),  |",[[ 45   1  84 549 551   2  75]]
"You have no authorization for Transaction),  |",[[103  46  24  47   3 165]]
"Time collision 12:30 - 13:00 with 12:30 - 13:00),  |",[[ 28  32 120  16 156  43  20 120  16 156  43]]
"System status CNF 000800001684 3900 is active),  |",[[  45    1   84 1277 1278    2   75]]
"Time collision 13:00 - 14:30 with 13:00 - 14:30),  |",[[ 28  32 156  43  79  16  20 156  43  79  16]]
"System status CNF 000800003498 0170 is active),  |",[[ 45   1  84 552 553   2  75]]
"Time collision 11:00 - 12:00 with 11:00 - 12:00),  |",[[ 28  32  73  43 120  43  20  73  43 120  43]]
"Time collision 08:45 - 09:15 with 08:45 - 09:15),  |",[[ 28  32  15 143  25  18  20  15 143  25  18]]
"Time collision 13:00 - 15:30 with 07:37 - 15:30),  |",[[ 28  32 156  43  18  16  20   8 199  18  16]]
"System status CNF 000800004659 2380 is active),  |",[[  45    1   84 1279 1280    2   75]]
"More than 24 hours entered for personnel number 00029139 on 24.08.2020),  |",[[  49   63   35   64   50    3   65   66 1281   67   35   15    5]]
"System status CNF 000800003146 1890 is active),  |",[[ 45   1  84 437 554   2  75]]
"Order 800002776 is already being processed by E0028401),  |",[[  13 1282    2   57   37   33   31  440]]
"Order 800000621 is already being processed by E0026803),  |",[[  13 1283    2   57   37   33   31  443]]
"Time collision 09:15 - 09:45 with 09:15 - 09:45),  |",[[ 28  32  25  18  25 143  20  25  18  25 143]]
"System status CNF 000520575287 0010 is active),  |",[[  45    1   84 1284 1285    2   75]]
"System status CNF 000800003498 0210 is active),  |",[[  45    1   84  552 1286    2   75]]
"System status CNF 000800003150 0570 is active),  |",[[  45    1   84  555 1287    2   75]]
"Time collision 08:45 - 09:00 with 08:45 - 09:00),  |",[[ 28  32  15 143  25  43  20  15 143  25  43]]
"Time collision 10:15 - 10:30 with 10:15 - 10:30),  |",[[28 32 29 18 29 16 20 29 18 29 16]]
"Time collision 07:30 - 08:00 with 07:30 - 08:00),  |",[[28 32  8 16 15 43 20  8 16 15 43]]
"Order 800002561 is already being processed by E0027000),  |",[[  13  556    2   57   37   33   31 1288]]
"System status CNF 000800000301 0170 is active),  |",[[ 45   1  84 445 553   2  75]]
"System status CNF 000800003146 1440 is active),  |",[[  45    1   84  437 1289    2   75]]
"System status CNF 000800003150 0900 is active),  |",[[  45    1   84  555 1290    2   75]]
"System status CNF 000800001685 1560 is active),  |",[[  45    1   84 1291 1292    2   75]]
"Time collision 11:15 - 11:30 with 11:15 - 11:30),  |",[[28 32 73 18 73 16 20 73 18 73 16]]
"Time collision 11:00 - 11:45 with 11:00 - 11:45),  |",[[ 28  32  73  43  73 143  20  73  43  73 143]]
"Time collision 09:00 - 10:00 with 09:00 - 10:00),  |",[[28 32 25 43 29 43 20 25 43 29 43]]
"Time collision 09:00 - 09:30 with 09:00 - 09:30),  |",[[28 32 25 43 25 16 20 25 43 25 16]]
"Time collision 07:30 - 12:00 with 07:30 - 12:00),  |",[[ 28  32   8  16 120  43  20   8  16 120  43]]
"System status CNF 000800002791 0430 is active),  |",[[  45    1   84 1293  467    2   75]]
"System status CNF 000800001846 2165 is active),  |",[[  45    1   84 1294 1295    2   75]]
"System status CNF 000800003146 1900 is active),  |",[[ 45   1  84 437 557   2  75]]
"System status CNF 000800004458 0350 is active),  |",[[  45    1   84  558 1296    2   75]]
"System status CNF 000800003062 2230 is active),  |",[[  45    1   84  429 1297    2   75]]
"System status CNF 000800003062 2150 is active),  |",[[ 45   1  84 429 550   2  75]]
"System status CNF 000800003062 1640 is active),  |",[[  45    1   84  429 1298    2   75]]
"System status CNF 000800003062 1430 is active),  |",[[  45    1   84  429 1299    2   75]]
"System status CNF 000800003062 1410 is active),  |",[[  45    1   84  429 1300    2   75]]
